srch_destination_id,rows,searches,click_rate,booking_rate,avg_price
8192,69832,2464,0.040124871119257645,0.02243956925191889,150.74383663649903
4562,57090,2038,0.04005955508845682,0.02207041513399895,406.6204725871431
9402,40629,1378,0.037903960225454725,0.02441605749587733,210.4773191562677
8347,33274,1192,0.041744304862655526,0.021548356073811385,135.97823165234115
10979,33264,1239,0.04133597883597884,0.023088023088023088,241.68281234968737
13292,32094,1166,0.04246899732037141,0.021468187200099707,242.3461675079454
13870,29614,968,0.03559127439724455,0.02262443438914027,155.58693084351995
18774,27146,915,0.03786929934428645,0.025160244603256464,182.95261290797907
23904,26422,919,0.03852849897812429,0.023465294073120885,2653.6932824918626
13216,23900,825,0.039456066945606695,0.02397489539748954,180.04615439330544
24700,23692,836,0.04022454837075806,0.019711294951882494,330.67350202600034
20319,23247,875,0.04336043360433604,0.020905923344947737,234.88615219168065
3073,22393,824,0.04220068771491091,0.02514178537935962,177.6333260393873
5143,22009,786,0.040256258803216864,0.021264028352037802,307.7123022399927
15307,21739,744,0.037766226597359585,0.024932149592897558,225.399792998758
6948,20744,716,0.04010798303123795,0.02439259544928654,118.2274734863093
26067,19529,659,0.03840442418966665,0.02350350760407599,123.04434533258231
15122,19065,740,0.04421715184893785,0.024075531077891423,5008.1824495148185
21871,18864,659,0.04071246819338423,0.025710347752332486,199.38272423664122
17713,17933,598,0.036469079350917304,0.017844197847543635,211.25952991691295
25426,17235,610,0.039918769944879605,0.019669277632724108,276.63613054830284
3694,16753,578,0.03820211305437832,0.015937444039873457,134.79852742792335
23605,16413,607,0.04271004691403156,0.021872905623591055,224.29513556327302
25479,16240,595,0.03996305418719212,0.023214285714285715,162.34100738916257
15620,15919,568,0.04058043846975312,0.020604309315911805,197.02910798416985
2303,15619,596,0.04225622639093412,0.02458544080927076,179.50066777642616
23090,15277,550,0.039340184591215556,0.02474307782941677,176.4768403482359
7714,15246,527,0.03948576675849403,0.025646071100616556,530.2951475796931
23246,13539,435,0.035083831893049706,0.026737572937439988,133.74120097496123
6991,13403,527,0.04357233455196598,0.026859658285458478,164.48151906289635
24731,13379,526,0.04327677703864265,0.02189999252559982,167.17841542716198
13539,13356,457,0.03893381251871818,0.027103923330338425,129.4496915244085
28317,13170,521,0.04495064540622627,0.024525436598329536,1088.3740030372057
6792,13110,452,0.038825324180015254,0.02540045766590389,174.93298932112893
20438,12923,457,0.03807165518842374,0.027857308674456394,186.17694111274471
4335,12297,447,0.039521834593803366,0.022851101894771082,164.23620069935757
4138,12030,476,0.04588528678304239,0.017539484621778886,237.0551388196176
9265,11954,409,0.04073950142211812,0.02576543416429647,152.7158783670738
21808,11637,416,0.03901349144968635,0.025178310561141188,128.70545931081892
28172,11481,471,0.04625032662660047,0.02656563017158784,535.3082370873617
1815,11478,424,0.043387349712493466,0.02369750827670326,201.83642707788812
19968,11404,413,0.04209049456331112,0.023325149070501577,141.84229743949493
570,11140,435,0.045691202872531415,0.02666068222621185,319.90928366247755
12454,11138,386,0.03941461662776082,0.02630633866044173,186.59891003770875
23495,10823,397,0.04148572484523699,0.023838122516862237,233.9942917860113
982,10655,378,0.038761145002346314,0.025246363209760675,166.86106616611917
10010,10584,373,0.040910808767951626,0.02928949357520786,132.76360355253212
