prop_review_score,rows,click_rate,booking_rate,avg_price
0.0,233294,0.02964928373640128,0.013429406671410323,363.93464161101446
1.0,13303,0.0206720288656694,0.007141246335413065,218.78035180034578
1.5,14465,0.019495333563774628,0.008987210508123056,118.96996405115797
2.0,62301,0.024237171152950997,0.011380234667180302,154.0772568658609
2.5,143886,0.029773570743505274,0.01604742643481645,129.02341332721738
3.0,375905,0.03508865271810697,0.021079794096912782,126.59829323898326
3.5,768054,0.04519213492801288,0.02852664005395454,181.00120305343114
4.0,1556948,0.05049108897663891,0.03231450247535563,235.520348984038
4.5,1546880,0.047471038477451384,0.03034624534546959,302.8539774837091
5.0,235947,0.03564783616659674,0.020385934129274794,505.0807171949633
