prop_id,rows,searches,click_rate,booking_rate,avg_price,avg_star_rating,avg_review_score
104517,2357,2357,0.07382265591854052,0.03945693678404752,108.37364870598218,4.0,4.0
124342,2355,2355,0.04883227176220807,0.03099787685774947,117.77445010615712,4.0,4.0
68420,2285,2285,0.04682713347921225,0.027133479212253828,65.5933829321663,3.0,3.5
40279,2275,2275,0.05054945054945055,0.025054945054945054,237.6494065934066,5.0,4.5
134154,2257,2257,0.051395657953035,0.038546743464776254,58.033655294638905,3.0,3.5
137997,2247,2247,0.0774365821094793,0.04850912327547842,134.05266132621273,4.0,4.0
59781,2245,2245,0.03652561247216036,0.019599109131403118,206.7056525612472,5.0,4.5
60846,2237,2237,0.05006705409029951,0.029503799731783638,154.58579794367455,4.0,4.5
77089,2230,2230,0.08565022421524664,0.054708520179372194,75.50577130044843,3.0,3.5
49656,2230,2230,0.029596412556053813,0.014349775784753363,69.96837668161436,3.0,3.5
59657,2190,2190,0.028310502283105023,0.010502283105022832,246.350602739726,5.0,4.5
35223,2189,2189,0.03334856098675194,0.016902695294655094,145.9782320694381,4.0,4.0
116942,2189,2189,0.11192325262677022,0.07263590680676107,120.5417131110096,4.0,4.0
38419,2177,2177,0.060174552135966924,0.0316949931097841,202.76786403307304,5.0,4.0
60468,2175,2175,0.038620689655172416,0.01747126436781609,232.6885287356322,5.0,4.5
21018,2170,2170,0.05207373271889401,0.025806451612903226,165.9100276497696,4.0,4.0
24545,2169,2169,0.03550023052097741,0.01705855232826187,107.7402305209774,4.0,4.0
14082,2152,2152,0.047397769516728624,0.02462825278810409,148.79425185873606,4.0,4.0
77795,2150,2150,0.03209302325581395,0.017674418604651163,238.24066511627908,5.0,4.5
37818,2139,2139,0.0748013090229079,0.04908835904628331,94.94421224871436,4.0,3.5
70177,2128,2128,0.06484962406015038,0.04276315789473684,107.5821757518797,4.0,3.5
46274,2111,2111,0.013737565135007106,0.004263382283278067,270.64888678351497,5.0,4.5
122112,2107,2107,0.009017560512577124,0.0023730422401518746,273.58398196487894,5.0,5.0
94455,2105,2105,0.024228028503562947,0.012351543942992874,266.3928028503563,5.0,4.5
78500,2077,2077,0.04188733750601829,0.026961964371689937,61.75595089070775,3.0,3.0
90845,2058,2058,0.03741496598639456,0.021379980563654033,109.31145772594753,4.0,4.0
117294,1994,1994,0.008525576730190571,0.003009027081243731,287.7381394182548,5.0,5.0
131892,1986,1986,0.04632426988922457,0.02416918429003021,108.34742195367573,4.0,4.0
114932,1986,1986,0.012588116817724069,0.007049345417925478,126.1560070493454,3.0,4.0
125083,1949,1949,0.02103642893791688,0.007183170856849667,119.50170343766034,4.0,4.5
26248,1799,1799,0.011117287381878822,0.006114508060033352,201.57261812117844,5.0,4.5
61529,1771,1771,0.06775832862789384,0.0502540937323546,272.61066064370414,4.0,4.5
53494,1770,1770,0.08813559322033898,0.06610169491525424,471.6368248587571,4.0,4.0
90809,1766,1766,0.011325028312570781,0.0033975084937712344,70.974818799547,3.0,4.0
126657,1657,1657,0.05552202776101388,0.03500301750150875,472.31881713940857,4.0,4.0
1230,1654,1654,0.07194679564691657,0.047762998790810154,338.90158403869407,3.0,3.5
77914,1593,1593,0.007532956685499058,0.0025109855618330196,120.69449466415567,3.0,4.0
7880,1585,1585,0.04037854889589906,0.026498422712933754,405.5982271293375,4.0,4.5
3213,1570,1570,0.0535031847133758,0.03184713375796178,349.115025477707,3.0,3.5
90730,1404,1404,0.04985754985754986,0.03205128205128205,409.852556980057,4.0,4.0
15994,1396,1396,0.05659025787965616,0.029369627507163324,438.2278223495702,4.0,3.5
41278,1342,1342,0.07153502235469449,0.040983606557377046,432.16976154992545,4.0,4.0
69261,1328,1328,0.022590361445783132,0.01581325301204819,690.5113253012048,5.0,5.0
23268,1284,1284,0.09735202492211838,0.05529595015576324,376.4036526479751,4.0,3.5
41712,1274,1274,0.012558869701726845,0.007849293563579277,356.5376530612245,4.0,4.5
105408,1251,1251,0.06554756195043965,0.032773780975219824,254.8160911270983,4.0,4.0
135499,1230,1230,0.04065040650406504,0.022764227642276424,291.47429268292683,3.0,4.5
13674,1227,1227,0.08394458027709861,0.05460472697636512,144.90039119804402,4.0,4.0
138600,1207,1207,0.0347970173985087,0.02236951118475559,357.2514747307374,4.0,4.5
79740,1193,1193,0.08801341156747695,0.06454316848281642,463.66765297569157,4.0,4.0
44923,1174,1174,0.04003407155025554,0.029812606473594547,716.7405195911414,5.0,4.5
17633,1156,1156,0.06228373702422145,0.04065743944636678,550.5671972318339,4.0,4.0
8864,1146,1146,0.06719022687609075,0.04450261780104712,260.49867364746945,4.0,4.5
34151,1143,1143,0.09186351706036745,0.0726159230096238,213.95876640419948,4.0,4.5
23212,1139,1139,0.050921861281826165,0.029850746268656716,366.5338981562774,4.0,4.5
134323,1128,1128,0.0026595744680851063,0.0017730496453900709,72.62364361702127,2.0,3.0
69184,1115,1115,0.030493273542600896,0.025112107623318385,229.07790134529148,4.0,4.0
41400,1108,1108,0.033393501805054154,0.024368231046931407,174.71708483754512,4.0,4.0
15390,1087,1087,0.03863845446182153,0.031278748850046,347.80464581416743,5.0,4.5
80475,1079,1079,0.07877664504170528,0.056533827618164965,472.0901390176089,3.0,4.5
57952,1057,1057,0.001892147587511826,0.000946073793755913,61.376225165562914,2.0,3.0
35679,1055,1055,0.07014218009478673,0.04454976303317536,245.52678672985783,4.0,4.5
5002,1046,1046,0.02390057361376673,0.018164435946462717,709.9348948374761,5.0,4.5
